table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 20,000 or More, Ranked by July 1, 2024 Population: April 1, 2020 to July 1, 2024",,,,,,,,,,,,,,,,,,
Rank,Geographic Area,"April 1, 2020
Estimates Base",Population Estimate (as of July 1),,,,,,,,,,,,,,,
,,,2020,2021,2022,2023,2024,,,,,,,,,,,
58,"Orlando city, Florida","307,785","307,868","309,928","318,821","327,390","334,854",,,,,,,,,,,
59,"Lexington-Fayette urban county, Kentucky","322,566","322,628","320,431","321,505","324,624","329,437",,,,,,,,,,,
60,"Stockton city, California","320,802","320,971","321,737","321,374","322,581","324,975",,,,,,,,,,,
61,"Riverside city, California","315,478","315,534","314,157","320,339","321,560","323,757",,,,,,,,,,,
62,"Irvine city, California","307,682","308,450","303,431","312,918","315,065","318,683",,,,,,,,,,,
63,"Corpus Christi city, Texas","318,066","318,285","318,162","316,441","316,978","317,317",,,,,,,,,,,
64,"Newark city, New Jersey","311,553","310,665","307,456","306,333","309,225","317,303",,,,,,,,,,,
65,"Santa Ana city, California","310,534","311,226","311,004","311,755","312,642","316,184",,,,,,,,,,,
66,"Cincinnati city, Ohio","309,561","309,604","308,701","310,211","312,703","314,915",,,,,,,,,,,
67,"Pittsburgh city, Pennsylvania","302,960","302,798","305,427","303,057","304,766","307,668",,,,,,,,,,,
68,"St. Paul city, Minnesota","311,483","311,127","307,666","305,034","305,147","307,465",,,,,,,,,,,
69,"Greensboro city, North Carolina","299,190","295,873","297,851","301,039","303,889","307,381",,,,,,,,,,,
70,"Jersey City city, New Jersey","292,749","291,960","285,143","292,360","298,215","302,824",,,,,,,,,,,
71,"Durham city, North Carolina","283,827","281,679","286,652","290,982","296,382","301,870",,,,,,,,,,,
72,"Lincoln city, Nebraska","291,333","291,837","291,691","293,306","296,810","300,619",,,,,,,,,,,
73,"North Las Vegas city, Nevada","259,472","261,173","271,063","280,093","286,692","294,034",,,,,,,,,,,
74,"Plano city, Texas","285,464","286,422","288,876","291,079","293,413","293,286",,,,,,,,,,,
75,"Anchorage municipality, Alaska","291,246","290,905","288,921","287,520","287,932","289,600",,,,,,,,,,,
76,"Gilbert town, Arizona","267,882","269,429","274,421","281,946","286,632","288,790",,,,,,,,,,,
77,"Madison city, Wisconsin","274,667","274,884","271,139","277,416","281,162","285,300",,,,,,,,,,,
78,"Reno city, Nevada","264,146","264,990","270,060","273,249","276,078","281,714",,,,,,,,,,,
79,"Chandler city, Arizona","276,103","277,429","279,667","280,996","281,543","281,231",,,,,,,,,,,
80,"St. Louis city, Missouri","301,371","300,315","293,484","286,292","282,772","279,695",,,,,,,,,,,
81,"Chula Vista city, California","275,494","275,808","275,745","275,516","276,181","278,546",,,,,,,,,,,
82,"Buffalo city, New York","278,286","277,558","277,728","275,907","276,376","276,617",,,,,,,,,,,
83,"Fort Wayne city, Indiana","263,914","264,394","266,455","268,394","270,408","273,203",,,,,,,,,,,
84,"Lubbock city, Texas","257,206","258,050","261,308","264,573","268,053","272,086",,,,,,,,,,,
85,"St. Petersburg city, Florida","258,344","259,271","259,598","262,502","265,083","267,102",,,,,,,,,,,
86,"Toledo city, Ohio","270,877","270,285","268,860","266,637","265,798","265,638",,,,,,,,,,,
87,"Laredo city, Texas","255,211","255,495","255,727","256,650","258,922","261,260",,,,,,,,,,,
88,"Port St. Lucie city, Florida","204,859","206,828","217,895","232,467","246,695","258,575",,,,,,,,,,,
89,"Glendale city, Arizona","248,399","248,938","249,842","252,162","255,001","258,143",,,,,,,,,,,
90,"Irving city, Texas","256,781","256,907","254,526","255,420","257,509","258,060",,,,,,,,,,,
91,"Winston-Salem city, North Carolina","249,567","249,231","250,397","251,411","253,332","255,769",,,,,,,,,,,
92,"Chesapeake city, Virginia","249,302","249,726","251,732","252,493","253,967","254,997",,,,,,,,,,,
93,"Garland city, Texas","246,191","246,392","244,391","246,918","246,283","250,431",,,,,,,,,,,
94,"Scottsdale city, Arizona","241,334","241,868","242,715","243,072","245,236","246,170",,,,,,,,,,,
95,"Boise City city, Idaho","235,717","236,043","238,214","237,614","236,433","237,963",,,,,,,,,,,
96,"Hialeah city, Florida","223,122","222,418","220,957","223,562","228,557","235,388",,,,,,,,,,,
97,"Frisco city, Texas","200,537","202,764","211,129","220,421","227,005","235,208",,,,,,,,,,,
98,"Richmond city, Virginia","226,525","226,923","227,164","228,670","230,383","233,655",,,,,,,,,,,
99,"Cape Coral city, Florida","194,001","195,436","204,053","218,013","227,022","233,025",,,,,,,,,,,
100,"Norfolk city, Virginia","238,029","237,813","234,920","232,766","231,378","231,105",,,,,,,,,,,
101,"Spokane city, Washington","228,973","229,205","230,542","230,777","230,193","230,609",,,,,,,,,,,
102,"Huntsville city, Alabama","215,079","216,379","218,725","222,299","226,228","230,402",,,,,,,,,,,
103,"Santa Clarita city, California","232,809","232,422","229,779","229,847","229,802","229,159",,,,,,,,,,,
104,"Tacoma city, Washington","219,210","219,756","219,938","220,993","224,886","228,202",,,,,,,,,,,
105,"Fremont city, California","230,497","230,445","227,910","227,359","227,587","228,192",,,,,,,,,,,
106,"McKinney city, Texas","195,333","197,510","203,530","208,534","215,862","227,526",,,,,,,,,,,
107,"San Bernardino city, California","222,100","222,119","220,644","222,444","223,676","224,775",,,,,,,,,,,
108,"Baton Rouge city, Louisiana","226,926","226,275","224,115","221,770","220,773","220,907",,,,,,,,,,,
109,"Modesto city, California","218,504","218,717","218,657","218,578","219,432","220,592",,,,,,,,,,,
110,"Fontana city, California","208,407","209,186","212,476","214,577","216,100","218,455",,,,,,,,,,,
111,"Salt Lake City city, Utah","199,712","200,666","201,161","208,579","211,833","217,783",,,,,,,,,,,
112,"Moreno Valley city, California","208,644","208,862","210,924","211,851","212,770","213,919",,,,,,,,,,,
113,"Des Moines city, Iowa","214,058","213,769","212,539","210,950","211,088","213,096",,,,,,,,,,,
114,"Worcester city, Massachusetts","206,511","202,475","205,656","206,602","209,211","211,286",,,,,,,,,,,
115,"Yonkers city, New York","211,575","210,995","210,104","208,768","208,922","211,040",,,,,,,,,,,
116,"Fayetteville city, North Carolina","208,472","210,894","212,265","211,425","209,873","209,496",,,,,,,,,,,
117,"Sioux Falls city, South Dakota","192,721","193,448","196,833","201,936","205,968","209,289",,,,,,,,,,,
118,"Grand Prairie city, Texas","196,075","196,201","197,313","202,220","204,067","207,331",,,,,,,,,,,
119,"Rochester city, New York","211,318","210,892","210,285","208,203","207,235","207,282",,,,,,,,,,,
120,"Tallahassee city, Florida","196,181","197,934","200,269","202,316","203,665","205,089",,,,,,,,,,,
121,"Little Rock city, Arkansas","202,531","202,607","202,141","203,416","204,235","204,774",,,,,,,,,,,
122,"Amarillo city, Texas","200,414","200,567","200,825","201,475","202,734","203,729",,,,,,,,,,,
123,"Overland Park city, Kansas","197,246","197,852","199,088","200,353","201,223","202,893",,,,,,,,,,,
124,"Columbus city, Georgia","206,918","207,015","205,094","202,658","201,959","201,830",,,,,,,,,,,
125,"Augusta-Richmond County consolidated government (balance), Georgia","202,075","202,031","200,811","201,967","201,108","201,737",,,,,,,,,,,
126,"Mobile city, Alabama","206,932","206,488","204,655","202,584","201,920","201,367",,,,,,,,,,,
127,"Oxnard city, California","202,059","201,908","201,774","200,499","199,764","200,616",,,,,,,,,,,
128,"Grand Rapids city, Michigan","198,910","198,735","197,757","197,694","198,270","200,117",,,,,,,,,,,
129,"Peoria city, Arizona","190,988","191,989","194,946","197,869","199,649","199,924",,,,,,,,,,,
130,"Vancouver city, Washington","190,887","191,284","193,475","194,995","197,733","198,992",,,,,,,,,,,
131,"Knoxville city, Tennessee","190,674","191,227","192,158","196,210","197,463","198,722",,,,,,,,,,,
132,"Birmingham city, Alabama","200,542","200,270","197,645","196,898","196,818","196,357",,,,,,,,,,,
133,"Montgomery city, Alabama","200,588","200,048","198,310","197,126","196,107","195,818",,,,,,,,,,,
134,"Providence city, Rhode Island","190,978","190,803","190,200","190,879","192,606","194,706",,,,,,,,,,,
135,"Huntington Beach city, California","198,729","198,422","196,404","194,777","193,334","193,151",,,,,,,,,,,
136,"Brownsville city, Texas","186,361","186,648","187,415","189,239","190,572","191,967",,,,,,,,,,,
137,"Chattanooga city, Tennessee","181,671","182,271","181,885","185,030","188,080","191,496",,,,,,,,,,,
138,"Fort Lauderdale city, Florida","182,644","182,765","181,892","184,787","187,872","190,641",,,,,,,,,,,
139,"Tempe city, Arizona","184,208","185,313","184,654","189,589","190,651","190,114",,,,,,,,,,,
140,"Akron city, Ohio","190,408","190,146","188,644","188,750","189,142","189,664",,,,,,,,,,,
141,"Glendale city, California","196,527","195,947","191,974","189,699","188,283","187,823",,,,,,,,,,,
142,"Clarksville city, Tennessee","166,755","167,533","170,862","177,020","181,142","185,690",,,,,,,,,,,
143,"Ontario city, California","175,264","175,723","178,274","180,736","182,782","185,285",,,,,,,,,,,
144,"Newport News city, Virginia","186,239","186,052","184,717","184,004","183,249","183,056",,,,,,,,,,,
145,"Elk Grove city, California","176,138","176,579","177,966","178,468","179,843","182,797",,,,,,,,,,,
146,"Cary town, North Carolina","174,799","174,803","176,928","180,376","181,205","182,659",,,,,,,,,,,
147,"Aurora city, Illinois","180,529","180,260","179,448","179,195","179,660","180,710",,,,,,,,,,,
148,"Salem city, Oregon","175,473","175,977","178,215","180,167","179,519","180,406",,,,,,,,,,,
149,"Pembroke Pines city, Florida","171,185","171,086","169,400","171,573","174,694","179,326",,,,,,,,,,,
150,"Eugene city, Oregon","177,254","178,436","180,086","182,053","178,686","178,786",,,,,,,,,,,
151,"Santa Rosa city, California","178,118","177,972","177,338","176,196","176,440","177,524",,,,,,,,,,,
152,"Rancho Cucamonga city, California","174,620","174,678","175,361","174,993","175,395","176,675",,,,,,,,,,,
153,"Shreveport city, Louisiana","187,540","186,796","183,238","180,211","178,017","176,578",,,,,,,,,,,
154,"Garden Grove city, California","171,976","171,866","170,644","169,865","170,138","172,361",,,,,,,,,,,
155,"Oceanside city, California","174,160","174,071","173,023","171,929","171,069","170,941",,,,,,,,,,,
156,"Fort Collins city, Colorado","169,826","169,990","169,302","170,318","170,730","170,924",,,,,,,,,,,
157,"Springfield city, Missouri","169,149","169,158","169,251","170,079","170,446","170,596",,,,,,,,,,,
158,"Murfreesboro city, Tennessee","152,835","153,816","156,473","162,595","166,023","168,387",,,,,,,,,,,
159,"Surprise city, Arizona","143,152","144,393","149,281","154,208","159,128","167,564",,,,,,,,,,,
160,"Lancaster city, California","173,584","173,192","170,036","167,893","167,293","167,426",,,,,,,,,,,
161,"Denton city, Texas","139,874","141,128","147,234","150,850","159,223","165,998",,,,,,,,,,,
162,"Roseville city, California","147,793","148,520","152,515","156,070","159,230","163,304",,,,,,,,,,,
163,"Palmdale city, California","169,415","168,907","165,543","163,520","162,605","162,536",,,,,,,,,,,
164,"Corona city, California","157,043","157,349","159,146","159,776","160,491","161,540",,,,,,,,,,,
165,"Salinas city, California","163,537","163,393","162,859","161,270","160,548","160,783",,,,,,,,,,,
